entity,iso_code,date,indicator,value
United States,USA,01/06/2021,Daily ICU occupancy,5489
United States,USA,01/06/2021,Daily ICU occupancy per million,16.226
United States,USA,01/06/2021,Daily hospital occupancy,18657
United States,USA,01/06/2021,Daily hospital occupancy per million,55.151
United States,USA,01/06/2021,Weekly new hospital admissions,18348
United States,USA,01/06/2021,Weekly new hospital admissions per million,54.238
United States,USA,02/06/2021,Daily ICU occupancy,5322
United States,USA,02/06/2021,Daily ICU occupancy per million,15.732
United States,USA,02/06/2021,Daily hospital occupancy,18083
United States,USA,02/06/2021,Daily hospital occupancy per million,53.454
United States,USA,02/06/2021,Weekly new hospital admissions,17944
United States,USA,02/06/2021,Weekly new hospital admissions per million,53.043
United States,USA,03/06/2021,Daily ICU occupancy,5175
United States,USA,03/06/2021,Daily ICU occupancy per million,15.298
United States,USA,03/06/2021,Daily hospital occupancy,17634
United States,USA,03/06/2021,Daily hospital occupancy per million,52.127
United States,USA,03/06/2021,Weekly new hospital admissions,17407
United States,USA,03/06/2021,Weekly new hospital admissions per million,51.456
United States,USA,04/06/2021,Daily ICU occupancy,4995
United States,USA,04/06/2021,Daily ICU occupancy per million,14.765
United States,USA,04/06/2021,Daily hospital occupancy,16970
United States,USA,04/06/2021,Daily hospital occupancy per million,50.164
United States,USA,04/06/2021,Weekly new hospital admissions,17004
United States,USA,04/06/2021,Weekly new hospital admissions per million,50.265
United States,USA,05/06/2021,Daily ICU occupancy,4768
United States,USA,05/06/2021,Daily ICU occupancy per million,14.094
United States,USA,05/06/2021,Daily hospital occupancy,16298
United States,USA,05/06/2021,Daily hospital occupancy per million,48.178
United States,USA,05/06/2021,Weekly new hospital admissions,16684
United States,USA,05/06/2021,Weekly new hospital admissions per million,49.319
United States,USA,06/06/2021,Daily ICU occupancy,4677
United States,USA,06/06/2021,Daily ICU occupancy per million,13.825
United States,USA,06/06/2021,Daily hospital occupancy,15987
United States,USA,06/06/2021,Daily hospital occupancy per million,47.258
